comment_eng,sarc_majority
It's hard not gonna happy,non-sarc
is very happy,sarc
go hang yourself,non-sarc
Najib is not that kind of happy that Malaysia is an Islamic country the most corrupt,sarc
haha blind to the world,sarc
ah testicles ye talk like glue suction only,non-sarc
The most advanced economic life of the people but not developed,sarc
sudahlh piss people najib hope you can reply always troublesome people amin,non-sarc
I do not believe any of what you said,non-sarc
her father ale testicles wretched,non-sarc
Thanks so somehow I am proud to be a Malaysian -,non-sarc
head testicles blind hearts he natang najib,non-sarc
advanced mneterinya good life of the people in charge of various tax oppressed people suffer because of his advanced stupid,non-sarc
puii,non-sarc
Because forward until Obama is going to come here breweries largest gambling center forward Islam blind us to,sarc
You do not only ridiculous fantasy that I can understand not say Islam said economic puii,non-sarc
feeling self-indulgent uwek,sarc
all this hypocrisy,non-sarc
dream to what,sarc
puii,non-sarc
The devil is the devil bald,non-sarc
stench,non-sarc
blah,non-sarc
pm the most poor in this century sputum pm billion puii puii puii,non-sarc
acting alone toyol went bald was how people scrounge only,non-sarc
advanced pocket near you,sarc
she a nurse happy people suffering to millions of viewers,non-sarc
puii,non-sarc
misbegotten statement,non-sarc
rampant liquor factory,non-sarc
PM Najib to step down is the people have to suffer with the administration you're not worthy of you continue to be am,non-sarc
puii,non-sarc
own right shock,sarc
pan pm an ear discharge people ignored,non-sarc
wit out people you do announce,sarc
Islamic economic erk cigarette tax from liquor store night club gambling lawful to haha,sarc
yay forward strangle,sarc
lark,sarc
thank,non-sarc
chief fathers,non-sarc
happy happy is your cat poop,non-sarc
just remember that support only time will come fuck you,non-sarc
haha who recognize it can be a little donation money ??? ??? coat,sarc
advanced on pinch ??? ???people,sarc
stupid has pm,non-sarc
trust in God alone is omniscient,non-sarc
her father's head forward,non-sarc
he became littered with urine,non-sarc
This piss people,non-sarc
haha most useless is noticed more this najib,sarc
of bad luck,non-sarc
haha,sarc
silly senile old man,non-sarc
he is not aware of all these people talk like this only Mai,non-sarc
right near the mines that was before now wishes Malaysia,sarc
we must be proud because our country has been named the country's most widely used graft puii,sarc
developed country people languish minister wealthy people suffering,non-sarc
You're the only one excited someone else is not already,sarc
advanced steal people's property pm stupid,non-sarc
the joke puii,sarc
full of oneself,sarc
most swine pm this century,non-sarc
most have to pee with you there is najib,non-sarc
you bastard developed Malaysia is an Islamic country is the poorest in Malaysia saw arab already know,non-sarc
Najib's Hobo ketum drink a lot,sarc
lam cha nun hide hide hide only kite nun ya chapter,non-sarc
puii Islam is said to create economic and GST tax burden to the people so happy you acik,non-sarc
Najib'm going to leave the world,non-sarc
The day saw advances in media Barua Barua what this kid does not do enough to numb her b,non-sarc
advanced head nod,non-sarc
Jews said Malaysia is an Islamic country that is advanced for being able to suppress the people of Islam pm hoorey also said ??? ???,non-sarc
head harness advanced business I hit you because you chant wasteful attitude you're a dog,non-sarc
Najib shock itself,sarc
"puii is designed with you, the faithful still aired on television the majority of those Muslims who many hardships what advanced countries empty cans",non-sarc
Malaysia's economic squeeze people,non-sarc
you talking,non-sarc
head brain pm the happiest you can be difficult for the people themselves,non-sarc
advance what all sign to pack your bags najib,non-sarc
and you pm most corrupt,non-sarc
did you choke out all progress is stupid,non-sarc
results torturing people,sarc
ha ha ha brain snap Islamic economic thought of how the economy is the Islam of the zakat collected Zakat tithe is still there but the Islam of homeless people may sakai coat donation,sarc
pm increasingly averse do not know what would be Malaysia's poor all too severe stupid,non-sarc
haha,sarc
sapa is very foolish to think foam foot to foot panting fan,non-sarc
only noticed the bald man's work,sarc
"when he wanted to quit, this is a little faster servants do not heat",non-sarc
and most tax,sarc
forward very much income it,sarc
"please do not use the name of Islam, you tarnish the name of Islam",non-sarc
wah Islamic economy is very,sarc
not out to deceive the bastard got pm tomorrow due to copyright claim by Malaysians view the hereafter death is already a lot of previous leaders already dead already answered not run out again in the grave,non-sarc
you are the head anal,non-sarc
Islam is the most advanced economic reality as sane money zakat and hajj tube was what it was to be caned,non-sarc
on paper only,sarc
Singapore state minister in her country zero corruption chinese prime minister of Malaysia Malay Muslims but the corruption of the highest in the world,non-sarc
you pack your testicles najib,non-sarc
puii,non-sarc
The most advanced head haha you pack Ooi Najib puii,non-sarc
damn jib,non-sarc
your head forward banda wretched misbegotten statement is no longer to Malaysia's Ooi blind to what God may cause the plague on the people of this,non-sarc
woe has title,non-sarc
Fooling,non-sarc
the world which belongs to the same praise fool with the minister,non-sarc
yes lah cigarette tax revenues by liquor kan kan jib,sarc
What is this story that you jib shame I was so close to chat right here is to have dementia,sarc
whereas we dock humping she added that wind up making face just have to peel him useless tube of pig skin,non-sarc
her brain nutmeg,non-sarc
Islamic economic success ye pal Najib GST tax cost of living leprosy puii I hate to see your face,non-sarc
pm most troublesome people are not out to make life difficult people,non-sarc
most wretched people of this century more happy if Najib berambus,non-sarc
pig right,non-sarc
winch,non-sarc
ahh tension puii,non-sarc
developed in his own pocket najib,sarc
do not feel like self-indulgent to oops,sarc
kah haha,sarc
corruption no one was proud too right,non-sarc
you do not go,non-sarc
oh how Najib Najib,sarc
avoid praise of his own,sarc
haha,sarc
advanced head brain mu,non-sarc
Last drinking ketum to najib,non-sarc
Fooling,non-sarc
haha haha got the leader,sarc
advanced reasons people go slaughterhouse ha misbegotten policy,non-sarc
so extortion proud of what the people want,non-sarc
Najib had wretched,non-sarc
how it developed,sarc
Islamic bank adhering to the teachings of Islam brain dead he wanted to buy the house pay-compatible with its own car shock pm Malaysia is still capable blasted Malaysia developed advanced if any people still pay a lot of other awful all gang cronies eat,non-sarc
is to be developed derma billion other countries there is no right,sarc
winch,non-sarc
The most advanced of the most corrupt pm happy to bear the brunt of the country's debt,sarc
haha but only the only people who know the pain of the heart,sarc
You're only happy n macai miserable people to the village you do not see puii,non-sarc
head testicles Najib may want to cheat the people bangladesh,non-sarc
The most advanced good to be true,sarc
yes it is very advanced,sarc
want to vomit heard,non-sarc
sorry not happy at all with this kind of news no meaning as long as the print is najib,non-sarc
we are happy for it even if it's like let's celebrate,non-sarc
lotpot just feel like he does not know the people are miserable life but also be forwarded,sarc
Najib was sot sot head Brunei number how,non-sarc
full of oneself,sarc
haha that's the joke,sarc
Bad drinking water can be sprayed center near the laptop when reading this verse of Islam's most advanced economies awful laptop out I was right haish xylophone waterpark,sarc
poor countries,sarc
shock themselves with money donations and proceeds from the people,sarc
it corruption has not advanced,sarc
wring money of developed countries not to,non-sarc
you bastard,non-sarc
"outsiders look at our country's raining gold, whereas we dock facing hail",sarc
I just want to say Najib testicles,non-sarc
haha Where can this fact is rather the most advanced lift basket,sarc
tasteless,non-sarc
congratulations quotes pm islam economy is worse than the national tax Harbi infidel people you scrape the prudent,sarc
pack jib million rich people money is there to answer t keep it up,sarc
advanced sputum puii,sarc
This illusion he,sarc
yes yes yes,sarc
it is the trick we saw someone I loved very deceptive thing I knew I just wanted to see where he can go far,non-sarc
haha,sarc
Islam in Malaysia how are things there is tax to be halal haram is advanced,sarc
misbegotten jib,non-sarc
fuck pm,non-sarc
I knew he was only wretched,non-sarc
"This is the name of his father, the head of the Islamic economic najib you",non-sarc
pm already missing infant brain is noisy for deaf people only haha,sarc
Islamic economy developed very right gst tax haha this is also going to consider the excise tax on vape Islamic economy advanced very wide economic disbelieve reject nor insufficient blood like you ha-ha already is lifting basket parents go pension there Malaysia does not need to have blood heroes like you,non-sarc
you pack developed testicles'm about dead people to load quickly you make it a god s w t pull the life you najib the country hate you cause trouble everyone,non-sarc
puii,non-sarc
economic donation the most advanced in the world taxes torturing people living high and an increase of the oil properly and transport fares are ridiculous Najib boy dubbed the father of Dracula Malaysia among the leaders of Malaysia's most hated by the people because it demeans Malay leaders as untrustworthy,non-sarc
it is not sold down is what you said,non-sarc
puii,non-sarc
Malaysia's most advanced economy in Malaysia haha,sarc
garbage,non-sarc
The most advanced for her only real people who are willing to bear all were working to accommodate families now spend the time Tun m dab pretty good salary but now useless,non-sarc
yes it is not millions of tax collection for the people of the area were gang najib sesame her people,sarc
haha,sarc
pm a careful suction of blood,non-sarc
what else this ridiculous bowl,non-sarc
shall be the word most,sarc
damn you najib,non-sarc
congratulations,non-sarc
last sell out to TPPA does not agree ahh try TPPA if it is cursed day long,sarc
kah kah kah statement which said that the scientific evidence of systematic n please,sarc
bullshit,non-sarc
we confirmed it was in the days of apostasy,non-sarc
deceive,non-sarc
haha get up early to read the news headlines comedy also seemed amused I read midriff,sarc
pm most poor najib =National Coalition,non-sarc
haha,sarc
Islam developed economies head useless you,non-sarc
I am happy that Najib quick riddance,non-sarc
najib wretched,non-sarc
head testicles you,non-sarc
amen,non-sarc
he done a good Muslim leader,non-sarc
What's in a name people destitute people choke under pressure in the blood sucked from the masses of the people take a day for the brim selective RM RM cents a day royal usurer none before uni pm quotes of GST on national lines pru terlingkup it later,non-sarc
lying,non-sarc
Najib who sat curse it very visibly angry haha,sarc
coi advanced green vomit,sarc
whether it be criticism dock pm maybe worse than what he says will support dsn,non-sarc
am glad people suffering,non-sarc
haha gonna spit uwek uwek uwek,sarc
always happy to meet,sarc
full of oneself,sarc
thank God we pray for the best,non-sarc
puii rights,non-sarc
he created the most advanced jokes will most corrupt ??? ???is,sarc
The highest state tax jackass,non-sarc
it is not fooling jib,non-sarc
This article was senile old man who was drunk tun m was more powerful than you ketum,non-sarc
shell mu,non-sarc
kah most advanced ye also praised too much longer tail Islamic country better than Malaysia just one example of qatar,sarc
You go to hell is najib,non-sarc
Poop is he just went forward people to suffer,non-sarc
advance how many Malaysians have a difficult forward supposedly puii,non-sarc
congratulations you lucky pm,non-sarc
puii,non-sarc
insight,sarc
why people still feel more difficult to move but increasingly overburdened,sarc
haha,sarc
winch,non-sarc
the name of Islam but blood choke you're n corruption,non-sarc
she a nurse who loves,sarc
also correct what he says it does not need it insults if he did not like praying that either already is,non-sarc
went wrong,non-sarc
you dyke,non-sarc
to you is the father of economic woe begotten son n family you have is the most advanced in the world,non-sarc
paler anal n is the chief father najib puii,non-sarc
You crested head brain semah,non-sarc
pehh,sarc
Najib is our best dato dato still support the government najib,non-sarc
how advanced the Islamic economy dato ooi,sarc
chat longer have it jib,sarc
he is crazy dah,non-sarc
curse,non-sarc
Najib head blind,non-sarc
the old has worsened visibly,non-sarc
You're dead wrong najib transvestite no eggs puii,non-sarc
penis is,non-sarc
head testicles economy where economic islam islam constituents have told gamble and go to a brewery,non-sarc
cis go it alone you this chat jib,non-sarc
Najib bastard you're the best now remember what you do is close the people one day you will be cold because it's all going right to the people,non-sarc
if there is an advance opportunity den salivary this najib,non-sarc
out the gap where advanced sweeper vape good friends I lost you for the money you,sarc
proud nana does not suck we're not proud of you,sarc
Your testicles najib,non-sarc
This funny story how long episodes have not seen,sarc
puii,non-sarc
The most advanced but still there are more things forbidden to Malaysia you think this is self assalamuailakum,sarc
useless ye,non-sarc
you nod ahead,non-sarc
shock itself does what the old man,sarc
haha forever,sarc
advance what the object if the currency fell sharply last year's budget all the burden on the people you oppress the people know not,non-sarc
hoi parents are very high you fly it,non-sarc
Islam is the most advanced country what it is if people live hard RM tumbling off the body of unemployed graduates was a long wait ipg good citizens of Brunei quiet,non-sarc
happy for Najib but not on citizens,non-sarc
congratulations Malaysia,non-sarc
it to haish haish haish,sarc
I was somewhat deceptive mouth sweet kid only knew that pink lips gay overshoot of age,non-sarc
cis away is awful phlegm,non-sarc
proud of kosher wine and gambling hmmm,sarc
you harness the most advanced hard people you do not know lacquer Bonang only,sarc
advanced to where it najib hoi,sarc
corruption =donation is indeed progress,non-sarc
full of oneself,sarc
who talk like that so I libas he used a broom haha you people do not slander it into print,sarc
pelir you,non-sarc
Mr. increase,sarc
ketum ye drunk Najib himself who can recognize it,non-sarc
Najib drunk oil from the cow dung dock,non-sarc
people suffer,non-sarc
poop poop poop anyway I hate,non-sarc
the fact of his hmmm,sarc
advanced thou,non-sarc
What other people do also pm not dead yet quotation is all the bank no I do not want to get in I will pay for the new body to continue all heart,non-sarc
you just happy we languish jib,non-sarc
her aunt developed,sarc
do not cite this close to selling the unsold television facebook ok,sarc
agree najib,non-sarc
nutmeg developed testicles,non-sarc
This is Najib talk cock,non-sarc
pm sorry there are people like you,non-sarc
puii,non-sarc
ss self-indulgent,sarc
Islamic economy with tax corruption puii wretched,non-sarc
but do not follow the Islamic way too many thanks,sarc
do not piss pak lah jib,non-sarc
advanced thing to the poor tax increase,non-sarc
najib life,sarc
shock you own pigs,non-sarc
UAE turkey not to the Islamic state advanced reporters want even kidding ampu,non-sarc
ngst best by wearing a strangle-income earners and the poor like the jaws ??? ???,sarc
blah lah najib testicles,non-sarc
anal mu,non-sarc
if developed countries do what the people miserable,non-sarc
I'm happy again when the traitor of the country resigns,non-sarc
Malaysia is the fate you can print these kinds Najib tried to hide from the difficulties of the people still want to say Islam's most advanced economy to be proud with what kind of leader are you puii,non-sarc
lie again,non-sarc
ooi repentance jib is already sick people,sarc
This all self-indulgent ss,sarc
pee,non-sarc
that for the pimp who received the award again award the same pimp pimp Dog Poop,non-sarc
chestnuts or angau this monkey mistreated people did not want to comment,non-sarc
his bald head testicles Malay economy right testicle is developed nutmeg,non-sarc
ehh why I do not know why I did not feel any effects of which he can comes out with this kind of confident statement,sarc
This spa parents,sarc
alahai forward any reason illegal object name only islam,sarc
leader unconsciousness many bribes,non-sarc
najib stupid,non-sarc
islam alahai illegal Jewish kosher has become a mixed version,non-sarc
what he really developed this flood of news that ye shall not be so ridiculous wretched puii,sarc
most scammers,non-sarc
buffalo Rabik,non-sarc
behind it,non-sarc
"Rap still have the soul of Islam, if not fatal g",sarc
advanced for him,sarc
administer and may remain permanent after pru,non-sarc
Muslims have a business where you trim forward,non-sarc
Najib and his cronies all said nice nice tax write ringgit fell good good economic brim TPPA nice nice nice mdb whatever plague Malaysia's leaders regret I fuck you bastard votes,non-sarc
forward is very,sarc
advanced you get lost it is very najib,sarc
money in her account may eat up every minute,sarc
nutmeg camel,non-sarc
The movie he was acting strong but no result created poi when to jam people do not know,sarc
haha,sarc
I do not know if he saw the face of the continuing mood lost haha,sarc
I think it is advanced enough to compare with the UAE national country full of modern skyscrapers n,sarc
not islam islam is not corruption,non-sarc
it is you're happy because you are callous mind and brain,non-sarc
head testicles you jib,non-sarc
forward sales of liquor may,non-sarc
winch,non-sarc
but pm glad people are suffering,non-sarc
puik,sarc
pm happy because a lot of money he wants to eat again haha,sarc
nonsense,non-sarc
"hoi barua najib disaster can turn him happy she remembers people happy with the leadership of the country you do not have to want to be proud so is barua najib you like people who dig anal take smell as if the shock itself Countdown najib people united vote of no confidence let's all keep it up dah you shall abuses of government to the people with more taxes waa can not sit still despite strong faith in any way and the patient, with some of its leaders are barbaric people hardship was not the leader of what the devil the name we also sinned choose leaders who are ignorant of najib",non-sarc
people are not dead yet Najib Razak as you please make,non-sarc
haha laugh brother,sarc
dubai UAE najib foot piss anyone believe,sarc
skull advanced ye,sarc
gambling center liquor nightclub prostitutes do not know about Islam practiced this kind of economic good job brother,sarc
money brim that money our taxes are the know do not have to be expensive things money so small now difficult life today if the salary of RM is not enough to eat now is not like before the big money is now the currency of small dah lah for a salary close to the employee are small only it will be developed ooi,sarc
ape you forward,non-sarc
liar,non-sarc
full of oneself,sarc
pleased with the results of other people tun he is gonna develop Malaysia proud people responsible for all taxes for the country's stability is not ashamed of her proud brother,non-sarc
The most advanced wall face eating people's money,non-sarc
advanced blind,non-sarc
head testicles forward dubai qatar bahrain with power only see developed countries do not see any same kind of tun m order,non-sarc
is proud oh dear friend,non-sarc
bullshit,non-sarc
glad you could name the people who are sick haha jack,sarc
Najib fact that many of incorrect,non-sarc
go to hell,non-sarc
pm =comedian Malaysia,sarc
advanced head testicles you najib you print is the worst this century,non-sarc
This all was because the Chinese economy is also doing business in Malaysia which has the name of Islam haha,sarc
phlegm puii,non-sarc
advanced half the people want destitute minister wealthy,non-sarc
let him berillusi,sarc
deceiver,non-sarc
when the advance of Islamic NGOs complain no help from you,non-sarc
shock is again haha,sarc
the fact is people suffering from empty praise hope,sarc
ethereal ethereal dream world dream world ahh,sarc
pig,non-sarc
Songok very,sarc
The scammer pm Malaysia,sarc
Your father's head,non-sarc
billion already take advanced it is,sarc
his sense of shame is not advanced but we're gonna move forward what is difficult to see what the people of Brunei is a new advanced,non-sarc
This what you mencarut this morning puii,sarc
The new pimp corrupt bandits right,non-sarc
advanced head brain you people do not eat enough already exhausted other Arab countries into how the,sarc
xabes own shock,sarc
You're lying illegal Najib in Malaysia is stupid puii,non-sarc
it is the most advanced of corruption is the most brazen pm,sarc
buffoonery morning,sarc
The most advanced people eating money,sarc
ahh surrogate happy also our people was indeed the Islamic economy the most advanced available zouk club program yahanana bananana television gambling licensed to sell liquor licensed non food act vape licensed eh mistaken vape which can cause illegal assessment tax window tax kitchen cabinets n the list goes on so Islam is in,sarc
advanced najib,sarc
advanced grandfather,sarc
father he advanced against the people there is,non-sarc
name what to do if the people suffer,non-sarc
RM machine may water it does not cover the cost of increased business amen,sarc
dead not only able to say a prayer so new stable trade hmm ok nak,non-sarc
better than we complained we recovered our prayer ringgit,non-sarc
if this kind of how well find it difficult to eat,non-sarc
why not write high closing haha,sarc
yesterday told this week saw strong ringgit is this Sunday talk next week is expected to go high in proper,sarc
oh if it wants a stable boy was not happy to share trade,non-sarc
MNX ringgit is up to more,non-sarc
thank,non-sarc
thank,non-sarc
thank amine,non-sarc
deceiver,non-sarc
ringgit rupiah wait so do not go down as long as bake razak,sarc
This beautiful bouquet to say ants than elephants this is already O my friend is time for change,sarc
thanks thank God,non-sarc
unlucky import goods all have increased the price of what the story,non-sarc
thank easy n ok,non-sarc
This page daily news to news sedapkan heart,sarc
thank,non-sarc
simple thank you recover from the first kind of ridiculous comments yet beautiful prayer will miss his interest,non-sarc
thank thank God,non-sarc
thank,non-sarc
thank,non-sarc
you are not exhausted are fed it well,non-sarc
Thanks a lot also increase was somewhat higher than last Friday amine,non-sarc
where the high trees to,sarc
good,non-sarc
thank God by higher salaries this month,non-sarc
RM against the dollar higher again,non-sarc
haha amused to hear ringgit closed high against the dollar is going pretty hokey,non-sarc
Thanks hope the Malaysian economy to fully recover amine,non-sarc
thank,non-sarc
thank,non-sarc
I think the national reserve waning of the previous year saw a number of reasons we have decreased the value of the ringgit against us we reserve had less than US billion as stated,non-sarc
BNM congratulations and congratulations Datuk Seri Najib pm,non-sarc
if we follow the Malaysian opposition is bankrupt last year but today the ratings of international bodies by fitch Moodys and Standard Poors remains a show confidence investors to Malaysia so we should not believe hearsay opposition ye them no credibility just clever protest but did not do anything to help the people of the state sales saliva may be possible to oppose royal birth to death,non-sarc
thank,non-sarc
take it for a little close najib,sarc
on paper only coat,sarc
cement the new loud do not know haha,sarc
our country is still strong fundamental congratulations national front government,non-sarc
the national debt also point to how much amount,non-sarc
first scene soon Malaysia bankrupt now silent which one is correct,non-sarc
"payable b just because some people use for rolling the mouth oops project bawdy n ??? t ??? t last too sorry to say accidentally""",sarc
